sentence,label
"Please don't try to change, modify or use a different lens with which to view this veiled request of discrimination.",4
I believe however that the witnesses will all only come from one side of the spectrum as anyone that tells it like it really is will be attacked as being racist or out of touch.,4
"Poll after poll shows that 80-85% of all Canadians, including 93% of Quebeccers, oppose the wearing of the Niqab at a Citizen Swearing In Ceremony, a time when a prospective new Canadian presents himself/herself to Canada.",12
"We have to get out of the business of manufacturing automobiles , Dirty energy consuming business Duh Ban oil burning bus's by 2017 or add 500% tax per ride.",1
But from scrolling up and down a bit I fear the emergency rooms of Canada may soon be flooded with people sporting red and orange tees who have been stricken with brain aneurysms.,9
"The writer would actually be best advised to pose her question to anyone in Newfoundland, for no other group in Canada is more tied to the rugged beauty and soul of their home province ?",11
"White people will not be heard by any Human Rights Tribunal in Canada with concerns about being racially discriminated against, anti Caucasian hate speach, and having their constitutional rights breached.",5
"The OSC needs strong tools to discover and investigate crimes, and payments for information can be justified if they lead to more successful prosecutions.",5
"Somehow racist whites think they are above individual civil rights, that freeing the police state from human rights restrictions will not come back to bite whites in the behind.",4
"That is not to say that we are not permitted a modest fall from grace from time to time, we all make mistakes, probably on a daily basis.",15
"Stating issues about specific behaviours and actions of certain groups is not racism, it is simply criticism that we all have to endure time to time in our lives.",4
"Anyone who has visited Cuba knows that free enterprise abounds, so it may be to some extent a 'command economy' (to use the poli sci jargon), but not wholly.",1
I am glad to see that you and many others who are not of the faith still recognize the message and respect and agree with it.,15
"The question is: if the Globe can so ably adduce the many other reasons why the Cons lost, aside from Harper's 'high negatives' that is, why did it nevertheless endorse the Cons sans Harper, on the eve of the election?",6
It was perfectly NORMAL for Martin to take a swing at some random swaggering stranger stalking him out of sheer racism.,4
"The latest poll showed the independence option with just 28 per cent support, 25 points behind the constitutional status quo.",12
The disturbing part is the real link is that our involvement there is what increases the chances of terrorist attacks here.,8
"can lead to excessive mental proliferation, worry, rumination, etc., and could in turn aggravate mental illness (many psychological studies have clearly shown that rumination, worry, etc., lead to mental illness).",9
"The Quebec government has recently announced their daycare program is unsustainable, but the NDP proposal is a great way to get (buy) votes.",6
"This time, though, with the Arctic apple, research is providing a product with a noticeable benefit consumers can bring home.This is not to suggest that this new variety of apple can guarantee market success.",1
Canada needs to enforce the fairness standard in broadcasting - and apply it to all forms of media including print media.,4
"In fact, the CITT declined to hear the case ruling that the Canadian dairy producers, who brought the appeal, had no standing.",5
"Boycott truly evil behaviour, not laws of morality that do not result in the impregnation of preteens, the starvation of families, the amputation and destruction of limb and life.",3
"It is not, and the RCMP and Elections Canada must vigorously investigate the claims and, if warranted, prosecute those responsible.But who is responsible?",5
Just tonight on the news it will now take two tests to diagnosed autism but Canada only has one of the tests!!,9
"For example, in the most recent US election I thought Romney was on the wrong side of almost every issue, but I had to concede that he acquitted himself very well in the debates.",6
"Why is it that apparently rational people believe that some other person has a pipeline to their god, and knows what that god wants?",15
"While court ideology on this matter has evolved considerably in the past fifty years, it has done so in one direction.",5
We live south of the Fraser River in Surrey and there is no one who says we are going to benefit much from this tax.,1
"I do NOT want my taxes spent on more frivolous entertainment or 'sports' ad nauseam, nor the whiny victimhood cause du jour repertoire.",1
"Anything else is not fair to Canadians who have come to expect that the power of government will be used to protect them, not prosecute them.",6
"While less frequently prone to violent acts of terrorism, they are an order of magnitude larger in population and pose an even bigger threat to Europe?s integrity.'",8
Do we want to take out terrorist plots in ones and twos forever or find out how to stop them for good?,8
"When it comes to unprofessional journalistic behaviour the CBC has been successfully sued for libel multiple times, the Rebel hasn't.",5
Rightly or wrongly the American invasion of 1812-14 has always been seen as a seminal event in the creation of a common identity among colonials in British North America: not the only one but an important one.,11
"Obama has expressed little interest in the Middle East in his two terms, so much so that his indifference to the Israeli situation and other usual middle eastern concerns actually cost him some votes during his election to second term.",6
'The committee called for more content showcasing Canadian history' True history or the revisionist stuff we have been fed lately.,11
"OK, the Parti Quebecois are nasty for trying to win an election with this big wedge issue (if Harper can do it...).",6
from the Harris Decima Poll'' more remarkable is the finding that Canadians feel they already know Justin Trudeau - almost 9 out of 10 Canadians already hold an opinion of him ''and for 57% this opinion is favourable.,12
"The rights of a fraction of a percent of the population should not trump the rights of half the population, particularly the half that has been traditionally discriminated against.",4
"We know these people aren't exactly brain surgeons but after about 10 years, one expects they would have gotten it sorted out.",15
There will come a day in about a decade when the health care we now enjoy will probably be rationed since there will not be enough money to cover everyone.,9
"Just look at two recent studies: One, from the University of Pittsburgh, found that regular brisk walking can help slow the progress of age-related memory loss.",9
Applying esoteric statistics like the unemployment rate and debt ratios to a tourist/rural economy like the Greek economy is just ludicrous.,1
"From the time it invaded in 2001, America pursued a military surge in Afghanistan, but an aid surge to the next-door country harbouring terrorist havens and the 'Quetta Shura,' as the Afghan Taliban leadership there is known.",8
"I have watched as our small community, in one year alone, lost five young people to suicide, with many more attempts.",9
"It may sound like a Mad Men throwback, but these clubs present a strange mix of refined rules - suit jackets and ties are required in Muirfield's dining room, for instance - and relaxed social conventions.",15
"The papers here make it sound like the protesters are on the side of everyone, but, that's not the case.",12
"If we ever do anything 'unholy' at any age, it is archived and can be used against us , at the discretion of the spooks !",3
You have a thirty day supply of dry goods and own a bunker because you believe America is under threat.,8
"While you're at it, check out the economic growth numbers, West vs. East, too, particularly out in Jed Clampett country.",1
"Perhaps surprisingly (last time I checked), 80 per cent of respondents answered 'yes,' presumably agreeing that Vision Vancouver promoted an anti-car ideology but deciding they were okay with that.",12
Well I can wear the same thing 7 days for a week and my wife does not notice (I've checked).,15
"No cup was at stake - just global hockey supremacy.In the Canadian mind, the teams also represented their societies' conflicting political systems.",6
"There can be many pathways leading to the same destructive place.While police foiled this alleged terrorist attempt and have done a commendable job of thwarting others, they can't be everywhere.",8
"But the Liberals invariably returned to governing, back then, because their coalition was broad and deep and coherent.We believe that in this century the conservative coalition is also broad and deep and coherent.",6
Conservative politicians and their lobbyist friends are out to scale the height of their towering egos ... at our expense naturally.,6
"Admittedly, some of this intransigence is based on genuine security concerns, but much is also based on the fact that Israel has normalized for possession of the Golan and does not want to give it back.",8
"Love or hate their wars, their soldiers have been attacked abroad in Afghanistan, Iraq, Libya, Lebanon, at sea amongst other places by Muslim terrorists.",8
"My power rates keep going up ,but Ontario is actually selling power at discount rates and in some cases paying the USA to take the power .",1
"When I broached the subject with my local MP, James Bezan of Selkirk Interlake--he was indignant that I would offer criticism-his view is that all federal scientists must fall into line with the party line from the PMO.",6
"Where I live, I see huge homes all around me worth almost one million dollars each, with expensive cars in the driveway.",1
"If we appoint people based on gender then the appointed people will always be viewed as less competent then the other workers as they didn't earn it, it was given to them.",4
"Just as the US moved to eliminate Soviet missile threat on Cuba, Russia is moving pre-emptively to eliminate potential NATO missile threat in Ukraine.",8
"A cure for serious mental illnesses like schizophrenia, depression, autism, Alzheimer's disease and related diseases of human brains will never be found unless institutions like CAMH began to base scientific methodology under all research into these biological brain diseases.",9
"It will be a major deal for them and even if they don't find a thing, there will be a news release that will state that Supreme Court Justice X is under investigation.",5
"Not good, not effective, not fair not to the nationals who welcome them, not to the desperate or not so desperate migrants.",4
"The biggest difference is that they will not be in on caucus meetings, which incidentally will ensure that Alberta now has absolutely no representation in the Liberal caucus.",6
"Well, exactly what my Wife uses it for now every morning; the HoroscopeThe Globe and Mail supports Hudak.. Who cares..",15
Peter MacKay used a rent-a-dog for his 'Belinda dumped me and don't I just look ever so sad and melancholy?',15
If we were a political party (rather than business persons) subjected to FOI by our critics we could have been roasted.,6
and learn the nature of the respondents to this ' Win prizes for filling out our Poll' poll that the Globe writers would have us believe represent Canadian's views on C-51.,12
I like to know how she get away with every thing and not go to jail people even singe a petition to kick her out how the hell is she still in,5
Only a spiritual revival and a change of character can save the planet from the ravages of environmental destruction and humankind from technological excesses.,3
"There is no friend anywhere 7:11 AM on July 16, 2013 : 'Lawrence Martin is now 'special to the Globe and Mail'.",15
Parties that hope to govern in this country all have their core supporters on either side of the political spectrum and then chase as many votes in the middle as they can.,6
"Indeed, the public may turn against the mission if things don't go well.When Canadian troops were first deployed to Afghanistan, the public strongly endorsed the mission.",12
"Does Canada set up hundreds of 'sanctuary' cities or counties or even provinces where these illegal immigrants can commit crimes including rape and murder with little or no consequences, where local politicians protect them?",5
No kidding G+M .....are you just waking up from a 6 year slumber to that which rest of us with a brain in our head knew since 2006???,15
"As for those that point out the results of the UN sponsored poll showing climate change in last place on the world's concerns - well, that easy to understand.",12
"A perfunctory examination of the Israel trip, which is all the mainstream media has so far provided us with, would obviously lead to the conclusion among many, that the trip was a purely political attempt to win over Jewish voters.",6
"And yet, when one looks more closely at those immigrant groups that experience the most difficulty in integrating, much less assimilating into Canadian society, one finds that many come from muslim or African societies.",11
"Acceptance of gays, against the teachings of most religions, is just one manifestation of the decline of organised religious influence.",4
"'The margin of error for a random survey of 1,000 Canadians is plus or minus 3.1 percentage points, 19 times out of 20.'",12
"But it is nowhere near time to give up on these sports.Boston University researchers looked at the brains of 85 repeatedly concussed former athletes and soldiers, and found serious brain damage (chronic traumatic encephalopathy) in 58 of them.",9
"Our indigenous population has no doubt suffered horrendously, but all one needs to do is look at the current state of the Canadian economy to understand the cost of our colonial based system.",1
"Why do people say hijab-wearing women are oppressed bcs they are either overtly forced or oppressed, BUT, women tottering around on stiletto heels are not.",4
"And as for the 'cultural spinoff,' where is that, when there is zero Canadian content and the Canadian cities where the films are shot have to be disguised as American cities?",11
"Last year, the head of the Swedish military created considerable controversy when he publicly stated that Sweden could not defend itself against a foreign attack.",8
"I once saw them coming out of the Dorchester Hotel, arm in arm, and they stopped to look at a huge anti-austerity rally under way across the road in Hyde Park.",1
"'It was more serious, back then, of course, as the research director suggests: 'There are health risks to using cannabis ?",9
"Thousands of francophones were deprived of their rights, compromised in their education, limited in their future opportunities and publicly demonized as lesser Canadians.",11
"I also encourage the Liberal government to allow this process to unfold in a reasonable, judicious amount of time.As Ontario's former minister responsible for democratic renewal, I have first-hand insight into the delicacy and complexity of this issue.",6
Among the protesting groups are a small number that have access to military level weapons and are willing to use them.,8
"[...]Today's conservatives, and their party, have been remarkably successful at raising money, imposing discipline, attacking adversaries, controlling messages, lowering taxes while spreading government spending into every corner of the country, and dominating the public agenda.[...",6
"'I bled internally all night,' he said.The broken bone sliced through veins and arteries, cutting off circulation to the lower part of the limb.",9
"What I am opposed to is the hi-jacking of our traditional, long held views on morality and faith by activist, unelected judges and then the deliberate, intolerant efforts by self righteous, liberal fascists to forcibly silence any opposing views.",3
"All people are equal under the law and there shall be no discrimination in political, economic or social relations because of race, creed, sex, social status, or family origin.",4
From one Hamiltonian to another... bye-bye Andrea... don't let the door hit you in that shapely tush on the way out...,15
"While addiction may call for forgiveness if I don't care for my children, I still must do so or arrange for others to do so.",9
Good... as my high school office practice teacher used to say in my old high school here in Thunder Bay...,15
Only hours after the announcement of the abdication there were demonstrations across the country demanding a referendum on whether Spain should become a republic.,12
"Yes Israel does have a right to defend itself, but this defense must be appropriate and logical, this seems like a desired means to an end for Israel.",8
"I think the answer for the courts is to direct orders requiring police action to the province's solicitor-general, who commands the police in the province, and hold him personally liable for contempt of court if the order is not obeyed.",5
"My house price has increased from 5 times median earned income in 1969 and 1990, the last two times it was sold, to 11 times today.",1
"The people of BC have a peculiar attachment to the natural world, at least apparently by the standards of most folk east of the Rockies.",11
"''The second group are the street gangs that infest many of our cities and neighborhoods, whose main source of income is the sale of illegal drugs.",5
"Before Castro, no literary work critical of American meddling in South and Central America could get published, and strongman rule was the order of the day.",15
We only entered Syria and Iraq after Assad's civil war had caused the group that calls itself Islamic State to begin attacking the West (and after the war had produced a terrible refugee exodus).,8
"About a third (34 per cent) oppose the move either strongly or somewhat.Attitudes in the United States, meanwhile, are starkly different.",12
It was designed to allow native youth to gather and tell stories about themselves and their community in a variety of different media.,15
So if someone had said in 1948 Canada needs more people that same person could now point to a massive population increase in a little over sixty years.,11
"If we thought his support of the birther movement was bad, wait until this election is over and assuming he loses watch what will happen to his brand.",6
If I insist on covering there will be an overwhelming negative response; probably around 80% of the population will object.,12
"Signs that say ' Idle No More ', protest rallies, blocked highways and railroads, drum beating while chanting ' this land is my land, this land is our land' or the revised version of O Canada.",11
There may be a more pressing federal 'aboriginal issue' - the long standing dismal health of our First Nations peoples which shows up in dreadful life expectations compared to other Canadians.,9
G&M is tasked to distract us from the fact that Harper is dragging the country into a war and thus exposing his people to the immediate security threats from the terrorists.,8
")To put a total quota of 37,000 tonnes of cheese into perspective: In 2009 there were 35,500 tonnes of skim milk powder sitting in storage, unused.",12
Mackay's legacy is not as a terminator of one conservative party and a builder of another; it is as the person responsible for the harper regime that has plagued this country for the past decade.,6
"The Koch Brothers and Rupert Murdoch gave America the Tea Party and enabled their takeover of the Republican party and their reckless, obstructionist brinkmanship in Congress.. Now their chickens have come home to roost.",6
"A top Uber executive privately urged digging up dirt on journalists critical of the company.Citing security concerns and bylaw violations, Toronto is seeking a court injunction to stop Uber from operating.",5
"In 1913, the year before the Great War started and an era of globalization and confidence ended, the booming Dominion of Canada, with a population of fewer than eight million people, welcomed 400,000 immigrants.",11
Also how much more debt can the federal government and especially the provinces incur before the one expenditure that soars past medicare will be servicing the debt.,1
"So now I have a unilateral increase in my costs that my competitors in New York, Mexico and Quebec do not have.",1
"Ariel Sharon had it right, get out of Gaza and West Bank, let these idiots blow each other up, and build a big wall/electric fence border.",8
"Canada needs surface ships, submarines, and air surveillance and intercept capability (satellites, drones, and human-flown planes) for all our sea borders.",8
Harper's decision to have a lengthy election campaign so that Conservative attack ads could do their work while Trudeau would supposedly make mistakes instead gave Trudeau the advantage of time to build momentum to defeat Mr.,6
Native culture will not be 'assimilated' any more than any immigrant culture has been; they're all thriving within the rubric of Canada.,11
Most police forces have long had dash-mounted cameras in police cruisers - and putting cameras on officers' lapels is merely a logical extension of the cameras in officers' cars.,15
Canadians do not get to pick and choose whether to treat LGBT people fairly based on their personal value judgments.,4
"At the same time, however, a recent Forum Research poll shows only 13 per cent of Canadians believe this country currently accepts too few immigrants.",12
"And Harper is the most partisan PM we have ever had, and to every government body he can wield that club.",6
"I am totally against racism and hate the rhetoric coming to us from south of the border, but this is a bit much.",4
"With political and economic elites in a symbiotic union, this renders Mr. Tamblyn's points about a majority of climate changes believers and their political influence, moot.",6
And polls like that beg the question - are people answering honestly or answering with what they believe is the 'correct' response.,12
"How about good old physical intimidation:'5,000 signatures necessary to do this were gathered as part of a wider initiative to oust the YFS executives.",12
I am a 30 something young professional with a lovely partner (who I met at the geriatric age of 31).,15
"They are the theological bedrock for one of the most popular contemporary movements: the American prosperity gospel.Millions of American Christians agree that faith brings health, wealth and victory.",3
And if you immerse yourself in a never-ending flood of tragic hate stories without a more realistic goal your own mental health will be at serious risk.,9
"If you want services, you have to pay for them: ORYou can go out of the city and buy some farm land and PAY TO IMPROVE IT and be independent that way.",1
It is interesting that suddenly the media is portraying almost every second comment as a 'dog whistle' that is really a call for discrimination against some group or other.,4
"China, India and now the US will more than make up for any slight reductions our billions will pay for.",1
"I'll happily wager the UK economy will do very nicely thank you, and will also be on the sidelines when the whole European 'project' collapses, as it inevitably wil.",1
"As for the supposed injustices done to anglophones in Qu?bec, I suggest asking ourselves what motivated governments to enact regulations that became 'supposed injustices.'",4
"The five most populated countries - China, India, the USA, Indonesia, Brazil, Pakistan, and Nigeria - hold more than half the planets population, and the first three as a group hold over 40%.",12
Libya is ruled by elements of al Qaeda and ISIS and there is a massive amount of military hardware missing.,8
"'Unlike Canada, Sweden doesn't select for skills, education or the potential to succeed'LOL, what a load of XXXX Canada's policies are racially biased.",4
Areas of concern are: ISIS members sneaking into Canada and performing acts of terrorism which will change our view of Muslims.,8
"My brilliant doctor went to a symposium on weight loss and came back saying that as far as he could tell, it was an almost impossible task.",9
"I got my first flu shot in 2009 and was immediately paralysed (wheelchair and full-body paralysis) with GBS, a known side-effect of the flu shot.",9
The current process of lumping people into groups and treating these groups of people differently from one another is ridiculous as well as being racist and sexist.,4
Romney played the business man card (even though he was born into money) McCain played the veteran card and Sarah Palin played the Joker....,15
"Toronto can see where this is going, despite 'only' fifty two murders last year, of which I believe thirty two were gun related.",5
"As with the Saudi arms deal, the moral arguments will loom large, even though they're pretty much beside the point.",3
"Court rulings change the rules of the game, forcing ministers to scramble to adjust.Worse, polls consistently show - as they certainly do now - that doing a lot more for aboriginals isn't very popular with the majority of Canadians.",12
"Nearly two-thirds, or 65 per cent of Canadians, said a nationwide referendum should definitely (37 per cent) or probably (28 per cent) be held on any changes to the electoral system.",12
"Youth today have grown up in a world where a big chunk of their lives is experienced online and whatever happens online is amplified, permanent, and publically scrutinized.",11
"'The content, therefore, we consider it Asian-Canadian - but it's not pigeon-holed into any sort of tropes that would lend themselves to being identified as Asian.",11
"When was the last time a union or association acknowledged publicly that their members are overpaid?For the past several years, physicians' incomes have risen less rapidly.",1
Do we feel any sense of moral depravity that we are still having disputes with FNs' over land and rights?,3
I always find it unfair that when the church is criticized people will go back centuries in order to find some hypocritical moment.,4
"If this is an example of Justin's decision making prowess, he doesn't deserve to have even a sniff of being PM.",6
"The machinist's complaints don't fit the permissible victimhood narrative, journalistic objectivity and fair play be damned: we just know he's really an intolerant, xenophobic, secret racist.",4
"I believe it was George Grant, or perhaps Tommy Douglas, who said that Americans had gone straight from barbarism to prosperity without any intermediate form of development in between.",11
"I have to think that if the City of Toronto was serious about shutting Uber down, a few applications of civil forfeiture law against Uber drivers would establish precedent that the risks outweigh the rewards for participating.",5
Perhaps our immigrant friends might consider that you came here to join a new society not import your old one.,11
Suddenly there is a threat being deemed as 'terrorist' on Global's Morning show targeting woman and feminists at U of T..with death.,8
"Inequality will grow exponentially, and the last tatters of the social safety net will be torn down and swept away.",4
"Just so you know there is Church doctrine on contraception etc., based on scripture and tradition and developed from logic, that cannot be changed even if the Pope feels like it.",3
"Similarly, I don't believe the public school system should become a place for Friday prayers....especially when males and females are required to worship separately.",4
"Gender bias within the school system, whether it is done consciously or unconsciously, has become an issue and boys are being increasingly disadvantaged.",4
The reality is that over 80 percent of Canadians held the same view as Harper on the niqab-citizenship ceremony preferences.,12
"For Brexit, the online interactive poll recorded 907, 000 votes & maintained its forecast over the 6 months leading to Britain's decision to leave the EU.Now, the Presidential Election has its own online poll.",12
I'm reluctant to embrace the millennial version of an ideal society because life does not really start until after school.,15
"According to the Globe & Mail's little survey on this subject, 70% of this site's readers agree with you, as do I, Jeffrey.",12
"The March telephone survey by L?ger Marketing found 82 per cent of Canadians favoured the policy somewhat or strongly, with just 15 per cent opposed.",12
"And now here's Lawrence Martin to remind us that the Alberta oil patch is Canada's entire economy, and that we all have no choice but to eventually wake up and see it that way.",1
"'Hydro-Quebec, the government-owned utility, has a contract to buy power from Newfoundland at a fixed price until 2016, and then a lower price still for 25 years thereafter.",1
It's part of Canadian culture to criticize the rest of the world for not living up to similar values while pretending Canada does and blaming Harper when evidence is irrefutable that myth and reality clash.,11
"In the early 1980s, after a particularly bloody terrorist attack on French and American forces in Lebanon, France's tolerance for military casualties seemed much higher than that of the United States.",8
"'So, Conservatives, if you wouldn't mind pushing Harper aside so we can pretend all this secrecy and wedge politics stuff was all solely because of him, that'd be great.'",6
"Manning of course is part of the political establishment, his trade is stabbing grassroots activists in the back, and thats what he's talking about here.",6
Everything she is saying in this article is true about the general political trends up to the point where she talks about herself .,6
"Their efforts should be, if they are true to their principles, focused on the God-forsakennightmare Canada has become under Harper.",6
"He wrote that his age was giving him a hard time, but he wasn't complaining; he said his heart and lungs were 'paying him back' for what he did to them - 'smoking with assiduity.'",9
There should be independant patient advocates employed by the province in each hospital who know the system and whom the patents or their family can turn to.,9
"Here's some better science-based journalism on ebola transmission for anyone who's interested in the West Africa outbreak: http://www.npr.org/blogs/goatsandsoda/2014/08/28/343734184/ebola-is-rapidly-mutating-as-it-spreads-across-west-africaThat 'bush meat' story is bunk, and this whole 'nothing to fear' mantra is a load of hogwash.",9
The health care ayatollahs seem to believe in evidence based medicine as long as it is not too expensive... and don't believe in a evidence based health care system.,9
"Then, his former spokesman, Alykhan Velshi forced CBSA to create fictitious evidence of terrorism against George Galloway to prevent him from entering Canada.",8
I understand that there are serious studies being done on the outcome of head injuries sustained by players in their career.,9
(Additional reporting by Pavel Polityuk in Kiev and Zlata Garasyuta in Moscow Writing by Andrew Osborn; Editing by Larry King),15
"It might also be added that we should not take too much comfort from the fact that the trends in question have not advanced as much in Canada as in the US and some other major, advanced and modern societies.",11
Ghomeshi-gate: a bad day for everyoneWhen a public figure allows his personal life to interfere with business life he opens the door for all kinds of moral recriminations.,3
"It's no different than crime; you don't reduce crime by arresting more people and throwing them in jail (as some believe), you do it by attacking the problems that lead to crime in the first place.",5
"By throwing out its moral compass and disregarding international law, the 'Do as I Say, Not as I Do' policy implemented by Western nations have set a low bar that others will stoop to match.",3
"Exposure to war can cause distress, but this is not necessarily synonymous with psychiatric illness.Indeed, the finest war journalists, the ones who have done this work for decades, usually understand that war leaves its mark on them.",9
"If this is indeed a new industry as Christie Clark would have us believe, develop a measure to assess where it lies on the continuum between the two and place the capital cost allowance there!",1
"Although it's not really possible to recreate the reality of mental illness, raising the awareness of the difficulty of nighttime is a good step, I think, for promoting empathy and understanding.",9
What makes my blood boil is the fact that the Ford family gets away with drug abuse and hanging around with known criminal drug dealers.,5
"When he was turned away by the police, he went to rob a fast food place - in order to be charged with a crime!",5
"This is the bizarre but very common idea that all european countries, or countries of european origin, like Canada, have have a moral duty and an inevitable destiny to make themselves into 'diverse', 'multicultural' hodge podges.",3
It seems to me that for folks such as she--who are clear thinking and whose medical situation is only going to get worse and not resolve--the option for doctor-assisted suicide should be available.,9
"So the Globe and Mail believes that an RCMP investigation into the multiple Senate scandals would be 'excessive, given there is no indication of criminal wrongdoing.'",5
Likewise it was not an exodus from Europe for a huge population of 'old stock' in Western Canada when Eastern Europeans were lured to settle the west with a contractual agreement of free land.,11
"As long as senators are members of parliamentary party caucuses that include members of the Commons, there is a real prospect of fundamental conflict between their conventional duty and their caucus duty.",6
"Also, could someone please point out where the right to marry - for anyone - appears in either the Charter in the US Constitution?",4
"It encapsulated the history of the North-West Rebellion, Louis Riel and the very reason 19,000 francophones still live in Saskatchewan.",11
Not only will it make the profession safer but it would also help to alleviate some of the stigma behind prostitution.,4
However I don't think it is realistic to expect that if you live in a remote community you will have the same health care as someone living in a city.,9
... no 50 plus one is fine as long as that 50 plus one signs up on a petition and explicitly gives up their citizenship .... can't see how else it could work.,11
With teachers competence does not even matter as they must commit a crime and only then can you get rid of them.,5
"Even if some decide to stay away, access to and security for the site, and for heads of state, will pose severe challenges.",8
"By the article's own numbers, that $1 billion could have gone to funding a year's worth of all day kindergarten or the clean energy program or 2 years of tuition grants for students.",1
Suggesting that such is the case is beyond ignorant and if that blade only cuts one way it is also racist as heck.,4
Canada has millions of people with deep multi generational roots here .. What the heck is wrong with saying that ?,11
(Suggesting that at the very least you will come out of all this with a whole new slate of kinky dating prospects!,15
"The debt went up by $671,942,119,311.43 in 2013 (according to us government numbers at the treasury dept).How is that a success?",1
"To blame someone else because you feel angry, offended or upset shows an abandonment of responsibility and an utter lack of emotional and spiritual maturity.",15
"The Supreme Court decision has the potential to move back this frenzied rush to development and encourage creative, long term and possibly more sustainable solutions.",6
"The big laugher is Steve goes there hat in hand and comes away with a few billion, less than his last visit.",1
"10 years from now, nobody outside of an undergrad who doesn't know any better is going to use this book as an historical reference.",15
"' Bush has been widely praised for his response to Katrina, in contrast with the criticism his brother, George W. Bush, faced as president in addressing the disaster.",6
"In summation: 'When it comes to belief systems, for this one time I?m with the guy who quotes Dante, and is worried about the inferno here on Earth.'",15
It's only a matter of time before the way in which Canadians frame their understanding of our world is through an entirely American lens.,11
Today is the day we learn in America that some are more equal than others and the law is no longer equally applied.,4
Not a Quebecer but I suspect that the majority of Quebecers just want to be themselves and flourish in their language and culture.,11
I guess the G and M have decided to save money on writers by having Lieberal bagmen write OP ed's?,1
"If a family owed, with a growing debt, 39% of the gross family income, not as a mortgage, but as credit card debt, most bankers would stamp a rejection.",1
"So to avoid a split on the right, she joined a party she says was becoming more like the NDP???!!",6
"Based on independent studies, each large wind turbine kills about 8 birds per month or about 100 birds per year.",12
"Now, Canadian music nearly dominates the North American scene; or, at the very least, its power is vastly disproportionate to the country's size.",11
We can assist Iraq in developing a force that might have the balls to actually fight ISIS at their request.,8
"It can be eaten, smoked, or consumed as a tea) is much safer than ultra-potent, lab-created pharma-junk powders & pills as it's less concentrated and is harder to fatally OD on.",9
They all accurately predicted what would be the outcome and limitations of the national survey method - they were right.,12
After a year and a half it's fair to say Canada has done its bit and now can feel good about re-deploying our scanty resources to best use against Daesh.,8
"I can readily acknowledge the injustices visited by my grandparents on your grandparents, and pledge not to visit them on you.",4
"He was solid on the hustings and in debates, never getting distracted from his message, but rarely sounding like a robot reciting memorized lines.",15
"I 100 per cent do not think that the policies that we have in place failed,' fact-checking chief Coco McPherson told the report's co-author.",6
?It struck me that the increased volume is actually a deliberate ploy by some restaurants to ensure that customers do not linger; thus they increase their turnover in an evening.,1
Woah is me won't get you elected and playing victim is the mark of a weak leader ready to be pushed out.,6
"At last count, the Society of International Gas Tanker and Terminal Operators (SIGTTO) calculates that more than 80,000 LNG cargoes have been safely delivered, with no loss of cargo tank containment and no on-board fatalities attributable to cargo operations.",9
"As someone who has been a part of the fist class Grade 'A' group of taxpayers, single male for the past 46 years, I don't anticipate my turn at the 'gravy train' pool of 'winners' !",1
"Isn't the real issue, why do we support overly dangerous sports and how do we determine when danger crosses that line?",9
So lets let the military get to work and come up with ways of killing the enemy in greater numbers than it can kill us.,8
In response to an earlier story about protesting the police practice of carding I made the following suggestion: I have a suggestion for a different type of protest: Be proactive.,15
"The English, however, could not be bothered as, for the most part, the traditional unitary state (with its essentially English nature) fitted their needs and aspirations.",11
Unless of course he wants to the US to make Canadians get a visa to go to the US.And another thing is certain.,6
Apportioning the undecided to the two camps produced 34 per cent for Yes and 66 per cent for No.Think about those numbers.,12
"Fear and distrust can be misplaced, depriving people of dignity;Legitimacy: Prisons differ in how just or fair prisoners perceive their jail to be.",4
It will be very interesting to see how the Toronto Police Union Representatives and the Toronto Police Union Lawyers try to justify and spin the shooting.,5
"He then comes the next day, and you have to pay him again, twice for the same work, because he is sick.",1
"Surely it doesn't take a rocket scientist to understand that using the current FPTP method perpetuates the inequitable, unfair and completely undemocratic dominance of the majority by a minority.",4
"More often than not, these new treaties - negotiated by indigenous peoples because there are few other options - end up back in court because of a lack of implementation or the familiar misinterpretation.There are alternatives.",6
"Some will point to Europe and say that people have embraced dense living for a long time, but the difference is they have no choice.",11
"Thus it is not surprising that both quote (or should I say, misquote) the same Koranic passages as justification for their views.",3
"So far only the United States, Canada, Australia, New Zealand, Japan, Philippines, and Vietnam has said the case was binding.",5
"Dean Martin hailed from Steubenville, then a tough coal town well known for its lack of social graces, less than discreet vice, and easygoing law enforcement.",11
"And therein lies the clue - America is, however, an extremely violent society, and has been since its earliest days.",11
"Given that I wouldn't vote for Harper with a gun to my head, I'm not very good at judging the efficacy of this advice.",6
"I, for one, don't consider myself an atheist, or a Christian, for that matter, and these prayers have always seemed utterly out of place and even hypocritical to me, especially considering what so often takes place during the following meetings.",3
